1993, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
1993, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
1993, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
1993, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
1993, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
1993, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
1993, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
1993, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
1993, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
7503, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
7503, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
7503, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
7503, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
7503, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
7503, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
7503, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
7503, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
7503, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
9875, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
9875, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
9875, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
9875, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
9875, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
9875, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
9875, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
9875, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
9875, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
213, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
213, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
213, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
213, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
213, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
213, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
213, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
213, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
213, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
7341, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
7341, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
7341, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
7341, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
7341, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
7341, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
7341, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
7341, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
7341, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
7025, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
7025, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
7025, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
7025, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
7025, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
