1993, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
1993, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
1993, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
1993, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
1993, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
1993, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
1993, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
1993, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
1993, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
7503, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
7503, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
7503, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
7503, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
7503, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
7503, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
7503, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
7503, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
7503, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
9875, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
9875, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
9875, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
9875, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
9875, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
9875, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
9875, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
9875, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
9875, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
213, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
213, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
213, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
213, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
213, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
213, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
213, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
213, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
213, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
7341, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
7341, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
7341, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
7341, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
